"sample","Species_code_sample","RT","MZ","PC_ID","TIC"
"DN1689","M4_1689",9.0166,316.9928,"M4_3",1103.73634560683
"DN1689","M4_1689",6.4963,316.9919,"M4_1",851.31403248397
"DN1689","M4_1689",10.957,317.0265,"M4_68",3523.10315632814
"DN1689","M4_1689",4.2935,319.0446,"M4_88",615.310460323681
"DN1689","M4_1689",9.8616,321.0242,"M4_57",2198.20324606705
"DN1689","M4_1689",6.9033,321.0251,"M4_56",381.482098817215
"DN1689","M4_1689",6.5142,321.024,"M4_1",1753.56123194495
"DN1689","M4_1689",18.564,327.215,"M4_102",701.488315429698
"DN1689","M4_1689",1.5248,329.0491,"M4_7",776.038568412163
"DN1689","M4_1689",6.5109,330.0599,"M4_1",19517.7605081551
"DN1689","M4_1689",6.5004,331.0641,"M4_1",2342.3743183189
"DN1689","M4_1689",1.5371,331.0654,"M4_7",39158.4484973145
"DN1689","M4_1689",1.3695,331.0663,"M4_124",29531.9319141797
"DN1689","M4_1689",5.9424,331.0648,"M4_80",2493.37574469673
"DN1689","M4_1689",1.7281,331.0657,"M4_77",9777.43316297538
"DN1689","M4_1689",6.5082,332.0761,"M4_1",372419.638001427
"DN1689","M4_1689",10.7295,332.0753,"M4_6",24011.4860380554
"DN1689","M4_1689",9.0023,332.0761,"M4_3",402857.325999256
"DN1689","M4_1689",1.5276,332.0684,"M4_7",4700.90745131138
"DN1689","M4_1689",6.5082,333.0792,"M4_1",55852.458311719
"DN1689","M4_1689",9.0023,333.0792,"M4_3",65428.87595548
"DN1689","M4_1689",10.733,333.079,"M4_6",3480.67192266169
"DN1689","M4_1689",9.001,334.0812,"M4_3",10096.307836862
"DN1689","M4_1689",6.4932,334.0814,"M4_1",9032.5546812221
"DN1689","M4_1689",5.4876,348.0713,"M4_71",274.133181860046
"DN1689","M4_1689",8.2954,348.0702,"M4_103",232.739878302212
"DN1689","M4_1689",6.6014,352.0415,"M4_127",5785.55259022303
"DN1689","M4_1689",9.0132,354.0575,"M4_3",11985.5072168338
"DN1689","M4_1689",6.5109,354.0574,"M4_1",21053.1753770163
"DN1689","M4_1689",6.5232,355.0601,"M4_1",3831.37039106277
"DN1689","M4_1689",22.3765,382.9842,"M4_4",103.881666666667
"DN1689","M4_1689",1.2278,383.1205,"M4_8",18166.7068289859
"DN1689","M4_1689",1.2491,384.123,"M4_79",2930.75112536461
"DN1689","M4_1689",6.5225,385.9947,"M4_1",4663.89118974249
"DN1689","M4_1689",1.7049,391.9449,"M4_123",1270.60334189138
"DN1689","M4_1689",1.2551,405.1028,"M4_79",3896.51304090712
"DN1689","M4_1689",26.0368,410.1019,"M4_72",3197.80331007735
"DN1689","M4_1689",3.0364,411.0216,"M4_98",905.470520317926
"DN1689","M4_1689",1.2431,416.0647,"M4_79",1014.78829436321
"DN1689","M4_1689",6.5151,426.082,"M4_1",1506.92881827062
"DN1689","M4_1689",9.0088,438.081,"M4_3",5950.61864483643
"DN1689","M4_1689",6.4348,439.0865,"M4_63",8284.04924138853
"DN1689","M4_1689",12.506,447.0911,"M4_74",4640.92074406862
"DN1689","M4_1689",8.8497,453.0456,"M4_15",1016.30122778079
"DN1689","M4_1689",6.5049,454.0765,"M4_1",1973.80838300723
"DN1689","M4_1689",8.8515,455.0612,"M4_15",1594.72512030152
"DN1689","M4_1689",10.8255,457.0758,"M4_31",1996.17852028427
"DN1689","M4_1689",10.9752,457.0749,"M4_68",2368.97543527576
"DN1689","M4_1689",8.8414,457.0761,"M4_15",11830.9753382704
"DN1689","M4_1689",8.8414,458.0799,"M4_15",2799.66202795491
"DN1689","M4_1689",11.0011,461.0699,"M4_2",4152.56010122442
"DN1689","M4_1689",10.9939,463.0868,"M4_2",200281.340753081
"DN1689","M4_1689",13.1579,463.0843,"M4_112",575.202709915601
"DN1689","M4_1689",10.9939,464.0894,"M4_2",43484.185491878
"DN1689","M4_1689",8.6885,465.0667,"M4_66",3458.64899501327
"DN1689","M4_1689",10.9939,465.0918,"M4_2",8156.26440460526
"DN1689","M4_1689",8.8244,479.0589,"M4_15",5897.83823953568
"DN1689","M4_1689",9.0202,482.071,"M4_3",14810.6927964775
"DN1689","M4_1689",9.0195,483.0748,"M4_3",7069.16114834236
"DN1689","M4_1689",10.7189,484.087,"M4_6",103812.808541114
"DN1689","M4_1689",9.0059,484.0871,"M4_3",145150.205630724
"DN1689","M4_1689",10.2547,484.0873,"M4_96",699.190316874906
"DN1689","M4_1689",10.7261,485.0902,"M4_6",23276.1108795476
"DN1689","M4_1689",9.0023,485.0907,"M4_3",34769.9734411728
"DN1689","M4_1689",10.7245,486.0919,"M4_6",3994.41176610805
"DN1689","M4_1689",9.0046,486.0926,"M4_3",7102.97490832213
"DN1689","M4_1689",3.5,493.1189,"M4_81",3927.21620326844
"DN1689","M4_1689",3.7602,493.1167,"M4_97",3057.09775076978
"DN1689","M4_1689",2.9756,493.1189,"M4_133",1444.65961295943
"DN1689","M4_1689",11.0011,497.0915,"M4_2",10676.1769072086
"DN1689","M4_1689",6.5049,498.0669,"M4_1",1878.86541889914
"DN1689","M4_1689",9.0188,500.0818,"M4_3",5463.64629556275
"DN1689","M4_1689",9.013,506.0688,"M4_3",7985.73428421246
"DN1689","M4_1689",9.0153,518.0927,"M4_3",1107.81660004856
"DN1689","M4_1689",9.007,536.9984,"M4_3",1181.85791305896
"DN1689","M4_1689",9.007,538.006,"M4_3",1004.91467394219
"DN1689","M4_1689",1.2503,580.1596,"M4_79",1036.51686659423
"DN1689","M4_1689",8.7258,589.083,"M4_128",1502.83460134277
"DN1689","M4_1689",8.7128,591.098,"M4_44",11488.6455491515
"DN1689","M4_1689",8.7127,592.1015,"M4_44",2054.95119064766
"DN1689","M4_1689",11.0051,609.0873,"M4_2",12303.5805323677
"DN1689","M4_1689",10.8295,609.0876,"M4_31",6675.93281000222
"DN1689","M4_1689",12.0684,609.0885,"M4_54",7700.43786636354
"DN1689","M4_1689",11.117,609.1444,"M4_58",82.2387513732906
"DN1689","M4_1689",10.8262,610.0908,"M4_31",2182.64219175024
"DN1689","M4_1689",11.0069,610.0907,"M4_2",2700.22646381295
"DN1689","M4_1689",12.0735,610.0913,"M4_54",2089.69939374887
"DN1689","M4_1689",7.8563,625.0819,"M4_118",656.78701998018
"DN1689","M4_1689",10.7437,634.0826,"M4_64",5875.78475839923
"DN1689","M4_1689",10.7369,635.0875,"M4_6",1899.45115228991
"DN1689","M4_1689",10.7223,636.0977,"M4_6",38944.1090606464
"DN1689","M4_1689",12.0445,636.0988,"M4_69",3699.02281924582
"DN1689","M4_1689",10.2121,636.0993,"M4_96",3335.68247969801
"DN1689","M4_1689",10.721,637.1014,"M4_6",11800.8718551636
"DN1689","M4_1689",10.7236,638.1038,"M4_6",2587.59909078126
"DN1689","M4_1689",10.7402,652.0935,"M4_6",2252.09522050722
"DN1689","M4_1689",10.7225,658.0801,"M4_6",5664.70118283147
"DN1689","M4_1689",6.4932,665.162,"M4_1",29167.9619806463
"DN1689","M4_1689",6.4932,666.1659,"M4_1",9329.08359501648
"DN1689","M4_1689",10.7421,670.1037,"M4_6",2469.99070062862
"DN1689","M4_1689",6.5023,679.1405,"M4_1",2256.22423765056
"DN1689","M4_1689",6.4906,687.1438,"M4_1",6592.26758715817
"DN1689","M4_1689",10.7206,689.0107,"M4_6",1946.41670001341
"DN1689","M4_1689",6.4968,718.0741,"M4_1",8152.07627678572
"DN1689","M4_1689",6.4968,719.0792,"M4_1",5102.95382692223
"DN1689","M4_1689",10.5015,743.1109,"M4_91",5409.42763533526
"DN1689","M4_1689",13.278,761.0976,"M4_111",665.412307147553
"DN1689","M4_1689",12.0413,788.1096,"M4_69",2960.22864398796
"DN1689","M4_1689",12.0576,789.1159,"M4_54",698.605965590045
"DN1689","M4_1689",21.9832,821.3957,"M4_131",180.832786222757
"DN1689","M4_1689",21.9852,822.3983,"M4_131",56.133552631579
"DN1689","M4_1689",9.0695,912.1353,"M4_129",1899.71422225951
"DN1689","M4_1689",9.209,912.1367,"M4_108",3928.0489131828
"DN1689","M4_1689",9.0737,912.6372,"M4_89",3871.32049532158
"DN1689","M4_1689",8.381,913.1454,"M4_34",12204.3525356896
"DN1689","M4_1689",10.7885,913.1417,"M4_101",2641.23076707874
"DN1689","M4_1689",8.381,914.1487,"M4_34",5420.09495196532
"DN1689","M4_1689",8.3839,915.152,"M4_34",760.189467464449
"DN1689","M4_1689",10.9636,927.1803,"M4_68",1840.42540394534
"DN1689","M4_1689",9.0023,969.182,"M4_3",8794.08877944946
"DN1689","M4_1689",9.0046,970.185,"M4_3",3957.24984182737
"DN1689","M4_1689",8.9987,971.1882,"M4_3",1139.43913883557
"DN1689","M4_1689",9.0016,1022.0933,"M4_3",933.327775704605
"DN1689","M4_1689",9.0034,1023.0984,"M4_3",781.64776868639
"DN1689","M4_1689",9.1573,1140.1741,"M4_84",4639.39413196445
"DN1689","M4_1689",9.4929,1140.1716,"M4_119",2825.7394659417
"DN1689","M4_1689",9.5,1140.6714,"M4_119",3306.40251229366
"DN1689","M4_1689",9.1533,1140.6742,"M4_84",5442.06228411582
"DN1689","M4_1689",9.1498,1141.1766,"M4_84",3656.35217989255
"DN732","M4_732",6.5023,123.0077,"M4_1",9531.90421111284
"DN732","M4_732",1.7129,123.007,"M4_120",2205.09044783868
"DN732","M4_732",1.7017,125.0232,"M4_121",11081.5495556971
"DN732","M4_732",6.5023,151.0024,"M4_1",17117.4887810475
"DN732","M4_732",1.2125,163.0391,"M4_8",6104.45823474121
"DN732","M4_732",6.4987,163.0386,"M4_1",2907.85781873914
"DN732","M4_732",1.7017,169.0133,"M4_122",19009.9001082137
"DN732","M4_732",8.8414,169.0129,"M4_15",25527.6803100585
"DN732","M4_732",6.8972,169.013,"M4_56",18738.5947158769
"DN732","M4_732",9.8609,169.013,"M4_57",13982.1060963939
"DN732","M4_732",1.5176,169.0117,"M4_82",872.091469101785
"DN732","M4_732",6.614,169.0132,"M4_126",13475.7606465212
"DN732","M4_732",6.5127,180.0654,"M4_1",85373.8674363471
"DN732","M4_732",1.2124,180.0657,"M4_8",28809.9105598145
"DN732","M4_732",9.0166,180.0653,"M4_3",8801.90048434194
"DN732","M4_732",1.02,180.0655,"M4_51",4749.10192163086
"DN732","M4_732",6.5109,181.0687,"M4_1",8561.59202263035
"DN732","M4_732",1.2467,181.0686,"M4_79",2423.959948012
"DN732","M4_732",5.4872,196.0603,"M4_71",2903.12525042318
"DN732","M4_732",1.2516,202.0477,"M4_79",839.808996846398
"DN732","M4_732",5.0083,203.0816,"M4_87",3017.46772919921
"DN732","M4_732",5.1406,203.0813,"M4_125",98.3623252219347
"DN732","M4_732",10.7333,203.0807,"M4_6",665.624975166324
"DN732","M4_732",6.5127,206.0447,"M4_1",15909.8100041723
"DN732","M4_732",2.8362,208.0271,"M4_94",18.0818765303667
"DN732","M4_732",2.9764,208.0275,"M4_83",5916.25858123279
"DN732","M4_732",10.7333,245.0912,"M4_6",1874.97790863203
"DN732","M4_732",30.2837,265.1469,"M4_39",34850.4646196209
"DN732","M4_732",30.2915,266.1504,"M4_39",4059.43838069033
