species_sample,compound_number,TIC
T69_1421,156,35101.042603
T69_1421,158,4963.900269
T69_1421,159,11614.716125
T69_1421,160,10557.629089
T69_1421,161,6285.237549
T69_1421,162,8688.952576
T69_1421,166,25088.027100
T69_1421,167,18746.528503
T69_1420,1,2503060.370636
T69_1420,3,475638.360504
T69_1420,6,949786.047241
T69_1420,7,76030.520966
T69_1420,8,1907240.138031
T69_1420,9,3693.875366
T69_1420,11,397794.580688
T69_1420,12,18107.438416
T69_1420,13,117427.412018
T69_1420,14,88474.448944
T69_1420,15,4413.948425
T69_1420,16,184606.208466
T69_1420,17,150545.847580
T69_1420,18,2203.143616
T69_1420,19,94649.585846
T69_1420,21,32132.877869
T69_1420,22,60446.248596
T69_1420,23,2203.143616
T69_1420,24,4324.824249
T69_1420,25,40808.375488
T69_1420,26,21772.539124
T69_1420,27,43611.306931
T69_1420,29,5192.475586
T69_1420,30,2803.683350
T69_1420,32,21338.924286
T69_1420,33,36707.418945
T69_1420,34,68913.046631
T69_1420,35,4985.212769
T69_1420,38,10007.389252
T69_1420,39,37020.367188
T69_1420,42,1425.829468
T69_1420,43,693115.223145
T69_1420,44,4290.590454
T69_1420,45,4739.118958
T69_1420,46,3376.645447
T69_1420,47,88298.898254
T69_1420,49,5682.709229
T69_1420,51,12266.211609
T69_1420,53,8618.530762
T69_1420,56,53811.751465
T69_1420,58,21014.442474
T69_1420,59,4986.493530
T69_1420,61,2549.882263
T69_1420,62,24438.425537
T69_1420,63,12902.011841
T69_1420,64,42837.758728
T69_1420,67,11917.500366
T69_1420,68,24710.853271
T69_1420,69,15875.603271
T69_1420,70,29068.938477
T69_1420,71,4503.840271
T69_1420,75,2635.892731
T69_1420,79,1236.671661
T69_1420,82,61792.430176
T69_1420,84,28323.394470
T69_1420,86,18651.381897
T69_1420,87,8738.723969
T69_1420,88,9711.554443
T69_1420,90,2352.232788
T69_1420,91,23031.065247
T69_1420,92,6091.685516
T69_1420,93,23403.352417
T69_1420,94,2100.078308
T69_1420,100,14561.530273
T69_1420,104,17588.903931
T69_1420,105,14396.273132
T69_1420,106,863.509583
T69_1420,107,202143.116760
T69_1420,108,14525.638794
T69_1420,109,18657.630600
T69_1420,110,28994.401978
T69_1420,112,6056.710144
T69_1420,113,15659.094971
T69_1420,114,2386.579590
T69_1420,115,544.950684
T69_1420,119,6616.461853
T69_1420,121,9334.879700
T69_1420,123,64254.806702
T69_1420,125,9622.317017
T69_1420,127,1198.400391
T69_1420,129,2379.089966
T69_1420,130,5224.964233
T69_1420,131,1528.660217
T69_1420,132,9458.146851
T69_1420,133,4989.520050
T69_1420,135,2423.305481
T69_1420,138,2333.749725
T69_1420,143,4234.160339
T69_1420,145,33573.885498
T69_1420,147,5361.265793
T69_1420,148,1018.849731
T69_1420,149,4037.220459
T69_1420,152,2147.095612
T69_1420,153,13019.294250
T69_1420,157,3458.320709
T69_1420,158,12274.417358
T69_1420,159,4229.345551
T69_1420,161,7902.013123
T69_1420,162,20417.532959
T69_1420,166,13026.094879
T69_1420,167,3725.047699
M4_1689,1,210220.280807
M4_1689,2,1923694.726715
M4_1689,3,4079.743347
M4_1689,4,2442665.248276
M4_1689,5,959787.006866
M4_1689,8,197611.019440
M4_1689,9,1332751.174377
M4_1689,17,307.000000
M4_1689,24,39274.240723
M4_1689,28,43541.277161
M4_1689,31,87974.085510
M4_1689,34,9708.960938
M4_1689,35,88462.885498
M4_1689,37,63821.227051
M4_1689,48,18444.086548
M4_1689,49,46514.168701
M4_1689,51,12798.608154
M4_1689,53,5749.067841
M4_1689,54,67704.823273
M4_1689,56,23624.033813
M4_1689,57,33362.286377
M4_1689,58,59942.915710
